1,0,8,年,1,0,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/10/01,"13,938,789","194,592,146",13.90,14.05,13.90,14.00,+0.15,"4,237"
108/10/02,"11,443,638","159,674,082",13.90,14.00,13.90,13.90,-0.10,"4,737"
108/10/03,"10,306,497","142,251,563",13.80,13.85,13.75,13.80,-0.10,"3,524"
108/10/04,"9,898,363","136,384,131",13.75,13.85,13.75,13.75,-0.05,"2,753"
108/10/07,"9,370,916","129,251,738",13.85,13.85,13.75,13.80,+0.05,"2,365"
108/10/08,"8,824,375","122,038,221",13.80,13.90,13.75,13.85,+0.05,"2,924"
108/10/09,"10,146,509","139,727,404",13.80,13.85,13.75,13.75,-0.10,"3,485"
108/10/14,"9,654,808","133,949,512",13.85,13.90,13.85,13.90,+0.15,"2,599"
108/10/15,"7,227,132","100,296,600",13.90,13.95,13.85,13.90, 0.00,"2,583"
108/10/16,"7,407,880","103,134,350",13.95,13.95,13.85,13.95,+0.05,"2,252"
108/10/17,"6,810,671","94,911,463",13.90,14.00,13.90,13.95, 0.00,"2,313"
108/10/18,"6,516,370","90,766,635",13.95,13.95,13.90,13.95, 0.00,"1,932"
108/10/21,"7,228,509","100,600,532",13.95,13.95,13.85,13.95, 0.00,"1,908"
108/10/22,"9,739,007","136,046,498",13.95,14.00,13.90,14.00,+0.05,"2,913"
108/10/23,"6,103,901","85,058,358",14.00,14.00,13.90,13.95,-0.05,"1,989"
108/10/24,"8,798,368","122,931,502",13.95,14.00,13.90,14.00,+0.05,"2,247"
108/10/25,"8,317,226","116,093,064",14.00,14.00,13.90,14.00, 0.00,"2,371"
108/10/28,"6,694,765","93,605,360",14.00,14.00,13.95,14.00, 0.00,"2,088"
108/10/29,"25,153,042","353,519,689",14.00,14.10,13.95,14.05,+0.05,"4,348"
108/10/30,"14,979,787","210,877,715",14.05,14.10,14.00,14.10,+0.05,"3,452"
108/10/31,"38,648,799","548,267,554",14.10,14.30,14.05,14.15,+0.05,"6,725"
