1,0,8,年,0,7,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/07/01,"13,764,899","197,355,130",14.35,14.40,14.30,14.30, 0.00,"2,985"
108/07/02,"9,709,956","138,663,562",14.30,14.35,14.25,14.25,-0.05,"2,368"
108/07/03,"10,283,818","146,604,376",14.30,14.30,14.20,14.30,+0.05,"2,554"
108/07/04,"8,732,273","124,725,240",14.30,14.35,14.25,14.35,+0.05,"1,760"
108/07/05,"5,146,082","73,721,956",14.35,14.35,14.30,14.30,-0.05,"1,370"
108/07/08,"13,468,492","193,677,952",14.35,14.40,14.30,14.40,+0.10,"3,352"
108/07/09,"11,732,586","168,451,662",14.40,14.40,14.30,14.40, 0.00,"2,598"
108/07/10,"9,869,903","141,858,763",14.40,14.40,14.35,14.40, 0.00,"3,072"
108/07/11,"13,685,927","198,043,581",14.40,14.50,14.35,14.50,+0.10,"3,106"
108/07/12,"20,358,293","297,382,033",14.55,14.70,14.50,14.55,+0.05,"3,291"
108/07/15,"12,850,813","186,983,333",14.60,14.60,14.50,14.55, 0.00,"2,374"
108/07/16,"11,501,345","167,529,117",14.55,14.60,14.50,14.55, 0.00,"2,558"
108/07/17,"22,775,626","332,697,079",14.60,14.65,14.55,14.65,+0.10,"5,203"
108/07/18,"17,036,349","250,121,345",14.65,14.75,14.60,14.65, 0.00,"3,834"
108/07/19,"14,776,610","217,401,110",14.70,14.75,14.70,14.70,+0.05,"3,282"
108/07/22,"12,643,103","186,495,099",14.75,14.80,14.70,14.75,+0.05,"2,718"
108/07/23,"18,727,946","275,918,947",14.80,14.80,14.60,14.65,-0.10,"4,685"
108/07/24,"15,069,519","220,838,480",14.70,14.75,14.55,14.55,-0.10,"3,622"
108/07/25,"16,623,220","243,936,482",14.60,14.75,14.55,14.75,+0.20,"3,412"
108/07/26,"10,889,242","159,904,243",14.75,14.75,14.65,14.65,-0.10,"3,127"
108/07/29,"9,813,541","143,830,234",14.65,14.70,14.60,14.70,+0.05,"2,200"
108/07/30,"16,158,520","236,951,347",14.70,14.75,14.60,14.60,-0.10,"2,500"
108/07/31,"29,937,099","438,058,895",14.65,14.70,14.60,14.60, 0.00,"4,338"
