1,0,8,年,0,9,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/09/02,"22,111,698","297,546,917",13.45,13.50,13.40,13.45,+0.05,"3,846"
108/09/03,"16,092,936","217,422,378",13.50,13.55,13.45,13.45, 0.00,"3,974"
108/09/04,"11,277,795","152,170,009",13.50,13.55,13.45,13.50,+0.05,"2,649"
108/09/05,"15,511,078","211,035,450",13.60,13.65,13.55,13.65,+0.15,"2,859"
108/09/06,"19,236,867","263,726,103",13.70,13.75,13.65,13.75,+0.10,"3,301"
108/09/09,"16,721,638","230,811,779",13.75,13.85,13.75,13.80,+0.05,"3,947"
108/09/10,"24,193,144","335,325,416",13.85,13.90,13.80,13.90,+0.10,"4,404"
108/09/11,"15,745,428","218,557,142",13.90,13.95,13.80,13.90, 0.00,"3,855"
108/09/12,"18,186,471","252,563,341",13.95,13.95,13.85,13.85,-0.05,"4,187"
108/09/16,"17,118,462","237,402,984",13.85,13.90,13.80,13.85, 0.00,"4,326"
108/09/17,"20,661,850","287,907,400",13.90,14.00,13.85,14.00,+0.15,"4,664"
108/09/18,"20,348,445","286,191,020",14.05,14.10,14.00,14.10,+0.10,"5,052"
108/09/19,"15,339,127","215,854,841",14.10,14.15,14.00,14.10, 0.00,"3,644"
108/09/20,"24,276,888","342,104,860",14.10,14.15,14.05,14.10, 0.00,"6,298"
108/09/23,"10,086,059","141,827,246",14.10,14.10,14.00,14.00,-0.10,"4,000"
108/09/24,"11,849,236","165,923,101",14.00,14.05,13.95,14.05,+0.05,"3,459"
108/09/25,"13,515,242","188,217,838",14.00,14.00,13.85,13.95,-0.10,"4,613"
108/09/26,"9,270,633","129,539,862",14.00,14.00,13.95,13.95, 0.00,"2,292"
108/09/27,"9,208,494","128,045,073",13.95,14.00,13.85,13.85,-0.10,"3,054"
