1,0,8,年,0,8,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/01,"21,820,100","316,836,724",14.55,14.60,14.45,14.45,-0.15,"5,196"
108/08/02,"25,789,508","368,668,036",14.35,14.40,14.25,14.25,-0.20,"5,988"
108/08/05,"17,842,879","255,950,026",14.25,14.40,14.25,14.35,+0.10,"4,629"
108/08/06,"23,172,816","329,510,730",14.15,14.35,14.05,14.35, 0.00,"4,756"
108/08/07,"19,283,573","277,036,706",14.35,14.35,14.25,14.35, 0.00,"4,523"
108/08/08,"39,433,596","564,207,322",14.30,14.35,14.25,14.30,-0.05,"4,946"
108/08/12,"37,193,352","508,720,907",13.60,13.80,13.55,13.70,X0.00,"9,035"
108/08/13,"16,660,744","227,340,938",13.70,13.70,13.60,13.60,-0.10,"5,431"
108/08/14,"12,943,430","177,012,966",13.65,13.70,13.60,13.65,+0.05,"4,151"
108/08/15,"16,175,326","218,569,014",13.50,13.55,13.45,13.50,-0.15,"3,867"
108/08/16,"20,239,581","275,135,854",13.50,13.70,13.50,13.55,+0.05,"4,185"
108/08/19,"11,164,677","152,503,300",13.65,13.70,13.60,13.65,+0.10,"3,855"
108/08/20,"9,444,711","129,122,083",13.65,13.70,13.65,13.65, 0.00,"3,098"
108/08/21,"12,423,512","169,585,234",13.65,13.70,13.60,13.65, 0.00,"4,228"
108/08/22,"9,455,469","129,337,479",13.70,13.70,13.65,13.70,+0.05,"2,530"
108/08/23,"9,565,549","130,489,760",13.65,13.70,13.60,13.65,-0.05,"2,593"
108/08/26,"13,571,843","183,606,984",13.55,13.60,13.50,13.50,-0.15,"5,147"
108/08/27,"29,615,447","399,045,148",13.55,13.60,13.45,13.45,-0.05,"4,069"
108/08/28,"8,916,451","120,495,340",13.45,13.55,13.45,13.50,+0.05,"3,317"
108/08/29,"48,867,467","654,702,564",13.55,13.55,13.30,13.35,-0.15,"8,733"
108/08/30,"46,746,248","624,874,716",13.45,13.45,13.30,13.40,+0.05,"6,944"
