1,0,6,年,1,0,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/10/02,"5,745,449","75,219,648",13.05,13.15,13.05,13.05, 0.00,"1,215"
106/10/03,"8,101,500","106,127,136",13.10,13.15,13.05,13.10,+0.05,"1,672"
106/10/05,"6,191,648","81,329,737",13.10,13.20,13.10,13.15,+0.05,"1,925"
106/10/06,"6,769,281","89,022,211",13.15,13.20,13.10,13.20,+0.05,"1,817"
106/10/11,"16,473,522","218,068,144",13.25,13.30,13.20,13.30,+0.10,"3,799"
106/10/12,"34,731,895","464,057,091",13.30,13.45,13.20,13.40,+0.10,"4,024"
106/10/13,"9,978,834","133,644,088",13.35,13.45,13.35,13.40, 0.00,"2,255"
106/10/16,"16,549,334","221,586,210",13.40,13.45,13.35,13.45,+0.05,"2,510"
106/10/17,"5,833,175","78,337,020",13.40,13.45,13.40,13.45, 0.00,"1,993"
106/10/18,"18,407,643","245,708,984",13.45,13.45,13.30,13.35,-0.10,"5,659"
106/10/19,"6,255,471","83,357,465",13.35,13.40,13.30,13.30,-0.05,"1,888"
106/10/20,"12,884,946","171,269,954",13.30,13.35,13.25,13.30, 0.00,"1,478"
106/10/23,"5,064,483","67,525,597",13.40,13.40,13.30,13.35,+0.05,"1,101"
106/10/24,"3,815,996","50,840,118",13.35,13.35,13.25,13.35, 0.00,"1,149"
106/10/25,"5,550,491","73,927,851",13.35,13.35,13.30,13.35, 0.00,"1,331"
106/10/26,"5,589,103","74,186,158",13.30,13.30,13.25,13.25,-0.10,"1,102"
106/10/27,"15,574,659","200,938,712",13.25,13.35,13.25,13.30,+0.05,"1,317"
106/10/30,"6,565,909","87,164,270",13.30,13.30,13.25,13.30, 0.00,"1,428"
106/10/31,"10,193,768","134,913,814",13.25,13.30,13.20,13.20,-0.10,"2,303"
