1,0,7,年,1,2,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/12/03,"14,655,820","200,115,901",13.60,13.70,13.60,13.65,+0.10,"3,388"
107/12/04,"17,529,052","238,575,241",13.65,13.70,13.55,13.65, 0.00,"3,757"
107/12/05,"20,804,818","281,148,252",13.60,13.60,13.45,13.55,-0.10,"5,085"
107/12/06,"18,808,803","253,246,223",13.50,13.55,13.45,13.45,-0.10,"5,454"
107/12/07,"11,247,887","151,794,953",13.45,13.55,13.45,13.50,+0.05,"3,361"
107/12/10,"22,346,844","299,058,422",13.45,13.50,13.35,13.35,-0.15,"6,789"
107/12/11,"16,754,008","223,751,782",13.40,13.40,13.30,13.35, 0.00,"3,725"
107/12/12,"15,821,828","211,929,161",13.40,13.45,13.35,13.40,+0.05,"3,302"
107/12/13,"19,184,897","257,603,760",13.50,13.50,13.35,13.45,+0.05,"4,341"
107/12/14,"14,898,558","199,845,540",13.45,13.45,13.35,13.45, 0.00,"3,298"
107/12/17,"10,594,408","141,942,835",13.40,13.45,13.35,13.35,-0.10,"2,937"
107/12/18,"32,392,266","430,202,621",13.35,13.35,13.25,13.25,-0.10,"8,239"
107/12/19,"15,206,242","202,270,626",13.30,13.35,13.25,13.35,+0.10,"4,753"
107/12/20,"14,265,340","189,342,311",13.30,13.35,13.25,13.25,-0.10,"4,598"
107/12/21,"14,460,322","191,459,212",13.25,13.30,13.20,13.25, 0.00,"2,527"
107/12/22,"11,888,690","156,888,251",13.25,13.25,13.15,13.20,-0.05,"2,856"
107/12/24,"12,859,667","169,337,385",13.20,13.20,13.15,13.20, 0.00,"4,443"
107/12/25,"22,023,946","287,648,415",13.10,13.15,13.00,13.05,-0.15,"5,943"
107/12/26,"20,468,529","266,111,784",13.05,13.10,12.95,12.95,-0.10,"6,448"
107/12/27,"11,595,517","151,721,394",13.05,13.10,13.05,13.10,+0.15,"3,150"
107/12/28,"17,772,532","232,535,267",13.10,13.15,13.05,13.05,-0.05,"2,943"
