1,0,7,年,0,6,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/01,"12,957,428","191,528,508",14.70,14.85,14.65,14.80,+0.05,"2,923"
107/06/04,"13,401,758","198,698,711",14.80,14.90,14.80,14.90,+0.10,"2,658"
107/06/05,"20,413,856","304,630,255",14.90,15.00,14.85,15.00,+0.10,"2,413"
107/06/06,"14,511,922","217,265,529",15.00,15.00,14.90,15.00, 0.00,"2,791"
107/06/07,"16,064,177","240,951,255",15.00,15.05,14.95,15.05,+0.05,"3,124"
107/06/08,"21,151,869","316,070,598",15.00,15.05,14.85,14.95,-0.10,"3,269"
107/06/11,"13,651,195","203,502,775",14.95,15.00,14.85,14.85,-0.10,"2,466"
107/06/12,"18,929,359","280,613,292",14.90,14.90,14.75,14.75,-0.10,"3,684"
107/06/13,"9,107,652","134,699,116",14.75,14.85,14.75,14.75, 0.00,"2,319"
107/06/14,"31,054,920","452,651,230",14.75,14.75,14.45,14.45,-0.30,"7,810"
107/06/15,"26,284,523","382,113,197",14.50,14.55,14.50,14.55,+0.10,"4,012"
107/06/19,"21,837,731","315,353,577",14.50,14.55,14.40,14.40,-0.15,"6,544"
107/06/20,"15,368,308","222,020,033",14.40,14.60,14.35,14.50,+0.10,"3,979"
107/06/21,"10,817,342","156,902,623",14.55,14.55,14.45,14.50, 0.00,"2,250"
107/06/22,"9,857,342","142,394,752",14.45,14.50,14.40,14.40,-0.10,"2,534"
107/06/25,"9,337,920","135,112,738",14.40,14.55,14.40,14.45,+0.05,"2,659"
107/06/26,"9,999,384","144,392,739",14.45,14.50,14.40,14.40,-0.05,"2,476"
107/06/27,"11,479,465","165,493,966",14.50,14.50,14.40,14.40, 0.00,"3,797"
107/06/28,"16,662,296","239,678,531",14.40,14.45,14.35,14.35,-0.05,"4,256"
107/06/29,"11,268,578","162,271,711",14.40,14.45,14.35,14.40,+0.05,"2,584"
