1,0,6,年,1,1,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/11/01,"5,601,006","74,199,528",13.25,13.30,13.20,13.25,+0.05,"1,378"
106/11/02,"7,637,835","101,138,299",13.20,13.30,13.20,13.25, 0.00,"1,343"
106/11/03,"4,371,478","57,967,182",13.25,13.30,13.25,13.25, 0.00,779
106/11/06,"8,872,117","117,499,880",13.20,13.30,13.20,13.30,+0.05,"1,997"
106/11/07,"9,880,079","131,027,417",13.25,13.30,13.20,13.30, 0.00,"1,923"
106/11/08,"8,535,307","113,557,056",13.30,13.35,13.25,13.30, 0.00,"2,018"
106/11/09,"15,268,639","203,273,078",13.30,13.35,13.25,13.35,+0.05,"2,027"
106/11/10,"3,764,247","50,075,375",13.30,13.35,13.30,13.30,-0.05,966
106/11/13,"9,129,376","121,566,564",13.25,13.35,13.25,13.30, 0.00,"1,682"
106/11/14,"13,633,103","181,747,451",13.30,13.40,13.25,13.35,+0.05,"2,361"
106/11/15,"6,740,592","89,496,721",13.35,13.35,13.25,13.25,-0.10,"2,398"
106/11/16,"8,438,183","111,707,067",13.25,13.30,13.20,13.20,-0.05,"2,577"
106/11/17,"9,791,404","129,514,121",13.25,13.30,13.20,13.20, 0.00,"3,015"
106/11/20,"8,547,194","113,214,193",13.25,13.30,13.20,13.25,+0.05,"3,500"
106/11/21,"43,311,668","584,518,232",13.35,13.65,13.30,13.60,+0.35,"6,868"
106/11/22,"38,274,122","526,165,858",13.70,13.85,13.65,13.75,+0.15,"8,742"
106/11/23,"9,320,480","127,413,113",13.70,13.75,13.65,13.65,-0.10,"2,659"
106/11/24,"10,791,360","146,796,495",13.65,13.70,13.55,13.55,-0.10,"2,797"
106/11/27,"9,234,479","125,040,281",13.60,13.60,13.50,13.50,-0.05,"3,071"
106/11/28,"12,854,854","174,439,787",13.50,13.65,13.50,13.55,+0.05,"2,322"
106/11/29,"10,770,323","146,203,370",13.55,13.65,13.55,13.60,+0.05,"2,248"
106/11/30,"36,800,638","497,465,073",13.60,13.65,13.45,13.50,-0.10,"3,042"
