1,0,7,年,1,1,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,"9,418,557","128,730,261",13.75,13.75,13.60,13.70,-0.05,"2,821"
107/11/02,"9,985,531","136,698,306",13.70,13.75,13.60,13.75,+0.05,"2,256"
107/11/05,"14,983,630","206,272,950",13.70,13.85,13.65,13.85,+0.10,"1,957"
107/11/06,"17,761,368","246,165,200",13.90,14.00,13.75,13.85, 0.00,"3,111"
107/11/07,"20,775,043","289,018,752",13.90,13.95,13.85,13.95,+0.10,"3,733"
107/11/08,"12,386,211","173,623,931",14.00,14.05,13.95,14.05,+0.10,"3,353"
107/11/09,"19,881,023","277,342,822",14.00,14.05,13.90,13.95,-0.10,"2,854"
107/11/12,"15,714,947","217,425,302",13.90,13.95,13.75,13.80,-0.15,"3,934"
107/11/13,"21,126,611","289,567,867",13.65,13.80,13.65,13.75,-0.05,"4,233"
107/11/14,"21,467,277","294,949,682",13.80,13.85,13.65,13.80,+0.05,"4,540"
107/11/15,"10,875,998","150,052,592",13.80,13.85,13.75,13.80, 0.00,"2,062"
107/11/16,"16,178,493","224,544,424",13.90,13.95,13.80,13.90,+0.10,"3,483"
107/11/19,"17,288,357","240,656,646",13.95,14.00,13.80,13.95,+0.05,"3,913"
107/11/20,"19,899,913","274,628,727",13.90,13.95,13.70,13.75,-0.20,"4,055"
107/11/21,"16,871,282","231,222,740",13.75,13.80,13.65,13.70,-0.05,"3,826"
107/11/22,"21,908,838","298,436,127",13.75,13.75,13.55,13.60,-0.10,"4,505"
107/11/23,"24,942,387","337,331,363",13.60,13.65,13.45,13.50,-0.10,"6,267"
107/11/26,"23,171,419","313,434,926",13.55,13.60,13.45,13.50, 0.00,"4,614"
107/11/27,"17,680,135","238,475,214",13.55,13.60,13.45,13.45,-0.05,"4,612"
107/11/28,"15,276,656","207,033,425",13.50,13.60,13.50,13.55,+0.10,"3,349"
107/11/29,"26,596,392","360,153,935",13.60,13.70,13.45,13.50,-0.05,"5,204"
107/11/30,"21,949,390","297,876,495",13.55,13.65,13.55,13.55,+0.05,"3,014"
