1,0,6,年,0,1,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,"5,850,782","68,921,876",11.80,11.80,11.70,11.80, 0.00,"1,298"
106/01/04,"9,525,453","112,374,148",11.80,11.85,11.75,11.80, 0.00,"2,502"
106/01/05,"15,407,062","182,765,274",11.80,11.90,11.75,11.90,+0.10,"3,181"
106/01/06,"12,181,976","144,985,562",11.90,11.95,11.85,11.95,+0.05,"2,582"
106/01/09,"10,336,371","122,780,097",11.90,11.95,11.85,11.85,-0.10,"2,785"
106/01/10,"18,958,488","222,755,738",11.75,11.80,11.70,11.75,-0.10,"3,750"
106/01/11,"12,729,448","150,648,112",11.75,11.90,11.75,11.90,+0.15,"2,886"
106/01/12,"15,552,328","185,515,731",11.90,11.95,11.85,11.95,+0.05,"3,870"
106/01/13,"9,761,300","116,366,113",11.95,11.95,11.85,11.95, 0.00,"2,184"
106/01/16,"7,759,705","92,041,970",11.90,11.90,11.80,11.85,-0.10,"1,936"
106/01/17,"9,374,522","111,262,638",11.85,11.90,11.80,11.85, 0.00,"2,921"
106/01/18,"14,374,641","170,965,609",11.90,11.95,11.85,11.90,+0.05,"2,709"
106/01/19,"10,181,388","120,219,070",11.90,11.90,11.75,11.80,-0.10,"2,401"
106/01/20,"10,882,416","128,288,975",11.85,11.85,11.75,11.80, 0.00,"2,271"
106/01/23,"12,847,396","152,660,339",11.85,11.95,11.80,11.90,+0.10,"2,585"
106/01/24,"14,097,372","166,637,846",11.90,11.90,11.80,11.80,-0.10,"2,253"
