1,0,6,年,0,9,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/09/01,"9,878,846","132,034,596",13.40,13.40,13.30,13.40, 0.00,"2,151"
106/09/04,"7,748,781","102,913,247",13.35,13.35,13.25,13.25,-0.15,"1,928"
106/09/05,"15,681,082","208,058,439",13.25,13.35,13.20,13.35,+0.10,"2,863"
106/09/06,"17,348,167","228,644,953",13.25,13.30,13.15,13.15,-0.20,"4,391"
106/09/07,"14,869,887","195,913,566",13.15,13.25,13.15,13.20,+0.05,"4,357"
106/09/08,"12,457,545","164,426,444",13.20,13.25,13.15,13.25,+0.05,"2,956"
106/09/11,"8,108,221","106,921,106",13.20,13.25,13.15,13.25, 0.00,"2,619"
106/09/12,"11,922,215","158,046,978",13.25,13.30,13.20,13.30,+0.05,"2,422"
106/09/13,"10,929,332","144,558,519",13.30,13.30,13.20,13.20,-0.10,"2,245"
106/09/14,"10,661,217","140,413,252",13.15,13.20,13.15,13.15,-0.05,"5,297"
106/09/15,"20,547,395","272,499,425",13.15,13.30,13.15,13.30,+0.15,"2,619"
106/09/18,"13,583,077","181,230,744",13.30,13.40,13.20,13.40,+0.10,"3,856"
106/09/19,"8,827,738","117,208,019",13.40,13.40,13.20,13.25,-0.15,"1,833"
106/09/20,"10,060,973","133,201,241",13.25,13.30,13.20,13.30,+0.05,"2,843"
106/09/21,"9,892,464","130,836,288",13.20,13.25,13.20,13.25,-0.05,"2,360"
106/09/22,"9,834,529","129,726,314",13.30,13.30,13.15,13.15,-0.10,"2,379"
106/09/25,"14,413,817","189,326,950",13.15,13.25,13.10,13.10,-0.05,"2,616"
106/09/26,"8,233,346","108,046,108",13.10,13.20,13.05,13.10, 0.00,"1,572"
106/09/27,"5,728,769","75,218,984",13.10,13.20,13.10,13.10, 0.00,"1,268"
106/09/28,"8,479,226","111,051,338",13.15,13.15,13.05,13.10, 0.00,"2,169"
106/09/29,"8,712,696","113,845,250",13.10,13.15,13.00,13.05,-0.05,"1,375"
106/09/30,"2,989,137","39,043,681",13.10,13.10,13.05,13.05, 0.00,697
