0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
106/03/16,"17,097,031","209,044,269",12.25,12.30,12.20,12.20, 0.00,"3,259",,,,,,,,,,,,,,,,,,,,,,,,
106/03/17,"24,999,376","306,728,249",12.20,12.30,12.20,12.30,+0.10,"3,439",,,,,,,,,,,,,,,,,,,,,,,,
106/03/20,"14,517,251","179,328,748",12.30,12.40,12.25,12.35,+0.05,"2,375",,,,,,,,,,,,,,,,,,,,,,,,
106/03/21,"18,469,573","228,635,156",12.35,12.40,12.35,12.40,+0.05,"4,875",,,,,,,,,,,,,,,,,,,,,,,,
106/03/22,"14,090,547","173,264,111",12.30,12.35,12.25,12.35,-0.05,"2,354",,,,,,,,,,,,,,,,,,,,,,,,
106/03/23,"11,710,295","144,397,559",12.40,12.40,12.30,12.35, 0.00,"2,576",,,,,,,,,,,,,,,,,,,,,,,,
106/03/24,"13,703,535","169,004,587",12.40,12.40,12.30,12.35, 0.00,"2,437",,,,,,,,,,,,,,,,,,,,,,,,
106/03/27,"12,906,864","158,710,092",12.35,12.35,12.25,12.30,-0.05,"2,482",,,,,,,,,,,,,,,,,,,,,,,,
106/03/28,"24,884,928","305,533,228",12.35,12.35,12.20,12.30, 0.00,"3,503",,,,,,,,,,,,,,,,,,,,,,,,
106/03/29,"10,372,150","128,014,680",12.30,12.40,12.30,12.40,+0.10,"2,828",,,,,,,,,,,,,,,,,,,,,,,,
106/03/30,"46,211,961","581,349,257",12.40,12.65,12.35,12.60,+0.20,"5,594",,,,,,,,,,,,,,,,,,,,,,,,
106/03/31,"26,634,291","336,630,799",12.60,12.70,12.60,12.65,+0.05,"3,416",,,,,,,,,,,,,,,,,,,,,,,,
106/04/05,"35,202,298","443,440,909",12.65,12.70,12.50,12.55,-0.10,"5,802",,,,,,,,,,,,,,,,,,,,,,,,
106/04/06,"13,005,108","162,798,005",12.50,12.60,12.45,12.55, 0.00,"2,427",,,,,,,,,,,,,,,,,,,,,,,,
106/04/07,"32,540,674","407,191,683",12.55,12.60,12.45,12.55, 0.00,"2,289",,,,,,,,,,,,,,,,,,,,,,,,
106/04/10,"9,034,301","113,006,361",12.60,12.60,12.45,12.50,-0.05,"1,383",,,,,,,,,,,,,,,,,,,,,,,,
106/04/11,"11,411,109","142,037,172",12.50,12.55,12.40,12.40,-0.10,"2,593",,,,,,,,,,,,,,,,,,,,,,,,
106/04/12,"9,537,533","118,291,828",12.40,12.45,12.35,12.45,+0.05,"1,731",,,,,,,,,,,,,,,,,,,,,,,,
106/04/13,"14,538,755","182,294,580",12.45,12.60,12.40,12.55,+0.10,"1,758",,,,,,,,,,,,,,,,,,,,,,,,
106/04/14,"17,592,752","219,809,216",12.50,12.55,12.45,12.45,-0.10,"2,279",,,,,,,,,,,,,,,,,,,,,,,,
106/04/17,"9,875,811","121,907,285",12.40,12.45,12.30,12.30,-0.15,"1,412",,,,,,,,,,,,,,,,,,,,,,,,
106/04/18,"6,030,323","74,392,195",12.40,12.40,12.30,12.35,+0.05,898,,,,,,,,,,,,,,,,,,,,,,,,
106/04/19,"17,686,579","216,441,281",12.30,12.30,12.20,12.25,-0.10,"3,285",,,,,,,,,,,,,,,,,,,,,,,,
106/04/20,"11,727,945","143,422,086",12.20,12.30,12.15,12.20,-0.05,"1,607",,,,,,,,,,,,,,,,,,,,,,,,
106/04/21,"7,670,929","94,105,500",12.25,12.35,12.25,12.25,+0.05,"2,290",,,,,,,,,,,,,,,,,,,,,,,,
106/04/24,"19,492,625","241,646,794",12.35,12.45,12.30,12.40,+0.15,"3,418",,,,,,,,,,,,,,,,,,,,,,,,
106/04/25,"25,531,031","319,175,212",12.45,12.55,12.40,12.55,+0.15,"3,676",,,,,,,,,,,,,,,,,,,,,,,,
106/04/26,"15,330,291","191,606,474",12.55,12.55,12.45,12.50,-0.05,"3,255",,,,,,,,,,,,,,,,,,,,,,,,
106/04/27,"6,740,835","84,139,759",12.50,12.55,12.45,12.50, 0.00,"2,077",,,,,,,,,,,,,,,,,,,,,,,,
106/04/28,"14,157,993","176,989,757",12.55,12.60,12.45,12.45,-0.05,"2,381",,,,,,,,,,,,,,,,,,,,,,,,
106/05/02,"21,284,176","268,236,116",12.50,12.70,12.50,12.60,+0.15,"3,544",,,,,,,,,,,,,,,,,,,,,,,,
106/05/03,"13,871,234","175,000,593",12.65,12.65,12.55,12.65,+0.05,"2,206",,,,,,,,,,,,,,,,,,,,,,,,
106/05/04,"9,644,226","121,927,154",12.65,12.70,12.60,12.65, 0.00,"1,501",,,,,,,,,,,,,,,,,,,,,,,,
106/05/05,"11,732,210","148,010,905",12.65,12.65,12.60,12.60,-0.05,"2,065",,,,,,,,,,,,,,,,,,,,,,,,
106/05/08,"14,433,655","181,936,416",12.65,12.65,12.55,12.60, 0.00,"1,999",,,,,,,,,,,,,,,,,,,,,,,,
106/05/09,"14,744,244","185,683,229",12.60,12.65,12.55,12.55,-0.05,"2,899",,,,,,,,,,,,,,,,,,,,,,,,
106/05/10,"10,428,016","131,565,143",12.60,12.65,12.55,12.65,+0.10,"2,886",,,,,,,,,,,,,,,,,,,,,,,,
106/05/11,"22,891,886","290,697,731",12.60,12.75,12.60,12.75,+0.10,"3,377",,,,,,,,,,,,,,,,,,,,,,,,
106/05/12,"13,801,653","175,823,982",12.70,12.80,12.65,12.80,+0.05,"2,146",,,,,,,,,,,,,,,,,,,,,,,,
106/05/15,"33,959,774","439,685,402",12.80,13.00,12.80,13.00,+0.20,"5,726",,,,,,,,,,,,,,,,,,,,,,,,
106/05/16,"28,868,514","376,775,332",13.05,13.10,13.00,13.05,+0.05,"6,554",,,,,,,,,,,,,,,,,,,,,,,,
106/05/17,"61,446,780","806,662,283",13.05,13.35,12.90,13.35,+0.30,"9,371",,,,,,,,,,,,,,,,,,,,,,,,
106/05/18,"30,200,050","395,969,167",13.10,13.20,13.05,13.05,-0.30,"5,800",,,,,,,,,,,,,,,,,,,,,,,,
106/05/19,"18,307,695","238,980,110",13.05,13.10,13.00,13.05, 0.00,"2,462",,,,,,,,,,,,,,,,,,,,,,,,
106/05/22,"11,584,141","151,273,411",13.05,13.10,13.00,13.10,+0.05,"2,348",,,,,,,,,,,,,,,,,,,,,,,,
106/05/23,"11,089,173","144,760,932",13.05,13.10,13.00,13.05,-0.05,"1,925",,,,,,,,,,,,,,,,,,,,,,,,
